Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_ad_if/inst/probe0_1[13:0],block_design_i/system_ila_ad_if/inst/probe1_1,block_design_i/system_ila_ad_if/inst/probe2_1[13:0],block_design_i/system_ila_ad_if/inst/probe3_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,HEX
3110,3110,0,-7576,1,-4844,00000001
3111,3111,0,-4844,1,-7432,00000001
3112,3112,0,-7432,1,3310,00000001
3113,3113,0,3310,1,-7578,00000001
3114,3114,0,-7578,1,-4844,00000001
3115,3115,0,-4844,1,-7434,00000001
3116,3116,0,-7434,1,3309,00000001
3117,3117,0,3309,1,-7576,00000001
3118,3118,0,-7576,1,-4838,00000001
3119,3119,0,-4838,1,-7433,00000001
3120,3120,0,-7433,1,3312,00000001
3121,3121,0,3312,1,-7570,00000001
3122,3122,0,-7570,1,-4845,00000001
3123,3123,0,-4845,1,-7445,00000001
3124,3124,0,-7445,1,3312,00000001
3125,3125,0,3312,1,-7571,00000001
3126,3126,0,-7571,1,-4840,00000001
3127,3127,0,-4840,1,-7445,00000001
3128,3128,0,-7445,1,3313,00000001
3129,3129,0,3313,1,-7560,00000001
3130,3130,0,-7560,1,-4844,00000001
3131,3131,0,-4844,1,-7456,00000001
3132,3132,0,-7456,1,3314,00000001
3133,3133,0,3314,1,-7560,00000001
3134,3134,0,-7560,1,-4840,00000001
3135,3135,0,-4840,1,-7462,00000001
3136,3136,0,-7462,1,3313,00000001
3137,3137,0,3313,1,-7559,00000001
3138,3138,0,-7559,1,-4839,00000001
3139,3139,0,-4839,1,-7471,00000001
3140,3140,0,-7471,1,3316,00000001
3141,3141,0,3316,1,-7546,00000001
3142,3142,0,-7546,1,-4841,00000001
3143,3143,0,-4841,1,-7470,00000001
3144,3144,0,-7470,1,3319,00000001
3145,3145,0,3319,1,-7550,00000001
3146,3146,0,-7550,1,-4839,00000001
3147,3147,0,-4839,1,-7478,00000001
3148,3148,0,-7478,1,3314,00000001
3149,3149,0,3314,1,-7544,00000001
3150,3150,0,-7544,1,-4838,00000001
3151,3151,0,-4838,1,-7487,00000001
3152,3152,0,-7487,1,3322,00000001
3153,3153,0,3322,1,-7538,00000001
3154,3154,0,-7538,1,-4843,00000001
3155,3155,0,-4843,1,-7484,00000001
3156,3156,0,-7484,1,3323,00000001
3157,3157,0,3323,1,-7537,00000001
3158,3158,0,-7537,1,-4838,00000001
3159,3159,0,-4838,1,-7484,00000001
3160,3160,0,-7484,1,3325,00000001
3161,3161,0,3325,1,-7533,00000001
3162,3162,0,-7533,1,-4838,00000001
3163,3163,0,-4838,1,-7490,00000001
3164,3164,0,-7490,1,3322,00000001
3165,3165,0,3322,1,-7537,00000001
3166,3166,0,-7537,1,-4842,00000001
3167,3167,0,-4842,1,-7494,00000001
3168,3168,0,-7494,1,3324,00000001
3169,3169,0,3324,1,-7536,00000001
3170,3170,0,-7536,1,-4842,00000001
3171,3171,0,-4842,1,-7492,00000001
3172,3172,0,-7492,1,3324,00000001
3173,3173,0,3324,1,-7539,00000001
3174,3174,0,-7539,1,-4838,00000001
3175,3175,0,-4838,1,-7487,00000001
3176,3176,0,-7487,1,3323,00000001
3177,3177,0,3323,1,-7539,00000001
3178,3178,0,-7539,1,-4842,00000001
3179,3179,0,-4842,1,-7479,00000001
3180,3180,0,-7479,1,3326,00000001
3181,3181,0,3326,1,-7541,00000001
3182,3182,0,-7541,1,-4838,00000001
3183,3183,0,-4838,1,-7479,00000001
3184,3184,0,-7479,1,3323,00000001
3185,3185,0,3323,1,-7544,00000001
3186,3186,0,-7544,1,-4842,00000001
3187,3187,0,-4842,1,-7480,00000001
3188,3188,0,-7480,1,3323,00000001
3189,3189,0,3323,1,-7550,00000001
3190,3190,0,-7550,1,-4842,00000001
3191,3191,0,-4842,1,-7465,00000001
3192,3192,0,-7465,1,3317,00000001
3193,3193,0,3317,1,-7549,00000001
3194,3194,0,-7549,1,-4840,00000001
3195,3195,0,-4840,1,-7457,00000001
3196,3196,0,-7457,1,3320,00000001
